ID,nom,departement,ville,CP,type
0782515K,Ecole maternelle René Pion,78,Triel-sur-Seine,78510,primaire
0782516L,Ecole maternelle Jean Jaurès,78,Verneuil-sur-Seine,78480,primaire
0782526X,Ecole maternelle Victor Hugo,78,Montesson,78360,primaire
0782539L,Lycée général et technologique Saint-Exupéry,78,Mantes-la-Jolie,78201,secondaire
0782540M,Lycée polyvalent Jean Rostand,78,Mantes-la-Jolie,78200,secondaire
0782546U,Lycée général et technologique Le Corbusier,78,Poissy,78300,secondaire
0782549X,Lycée polyvalent Louis Bascan,78,Rambouillet,78513,secondaire
0782556E,"Lycée polyvalent Léonard de Vinci, lycée des métiers de l'électrotechnique et des automatismes",78,Saint-Germain-en-Laye,78100,secondaire
0782557F,"Lycée polyvalent Jean-Baptiste Poquelin, lycée des métiers du management et de la gestion",78,Saint-Germain-en-Laye,78101,secondaire
0782562L,Lycée général Hoche,78,Versailles,78000,secondaire
0782563M,Lycée général et technologique La Bruyère,78,Versailles,78000,secondaire
0782565P,Lycée polyvalent Jules Ferry,78,Versailles,78000,secondaire
0782567S,Lycée général et technologique Marie Curie,78,Versailles,78002,secondaire
0782568T,Lycée général et technologique Alain,78,Le-Vésinet,78110,secondaire
0782587N,"Lycée polyvalent Viollet-Le-Duc, lycée des métiers de l'habitat et du développement durable",78,Villiers-Saint-Frédéric,78640,secondaire
0782593V,Lycée professionnel Jean Perrin,78,Saint-Cyr-l'École,78210,secondaire
0782602E,"Lycée professionnel Jean Moulin, lycée des métiers de l'électro-énergétique",78,Le-Chesnay,78150,secondaire
0782603F,Lycée professionnel Jacques Prévert,78,Versailles,78000,secondaire
0782822U,Lycée général et technologique Pierre Corneille,78,La-Celle-Saint-Cloud,78170,secondaire
0782924E,Lycée général et technologique Evariste Galois,78,Sartrouville,78500,secondaire
0782930L,Ecole maternelle Saint-Exupéry,78,Achères,78260,primaire
0782931M,Ecole maternelle Jules Ferry,78,Ecquevilly,78920,primaire
0782960U,Ecole élémentaire Olivier Messiaen,78,Fontenay-le-Fleury,78330,primaire
0782962W,Ecole élémentaire Henri Wallon,78,Trappes,78190,primaire
0782967B,Ecole maternelle Henri Wallon,78,Saint-Cyr-l'École,78210,primaire
0782975K,Ecole maternelle Camille Saint-Saens,78,Louveciennes,78430,primaire
0782976L,Ecole maternelle Pierre Brossolette,78,Les-Mureaux,78130,primaire
0782998K,Ecole élémentaire d'application Pershing,78,Versailles,78000,primaire
0783060C,Ecole maternelle le Clos Crozatier,78,Villepreux,78450,primaire
